,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
333,333,322,Bryant,NEC,30,10-20,98.6262,114.2341,.1560322,49254,54.9331,18.4160,18.6159,26.6233,30.2261,36.872,35.4241,49.2216,52.8281,32.5262,38.8342,69.1158,-16.2316
158,158,153,Bucknell,Pat,33,21-12,104.0158,103.3166,.5187153,5373,49.2107,17.387,16.6290,25.8253,27.6152,33.9155,32.4161,53.358,48.8114,35.1131,33.3105,71.752,-5.5132
26,26,26,"Buffalo 6 seed, ✅",MAC,33,31-3,113.325,94.933,.884726,53.459,47.229,15.619,20.465,31.674,26.7105,32.2206,31.5136,55.815,48.8114,33.6212,29.712,75.110,5.618
71,71,70,Butler,BE,33,16-17,111.143,100.6116,.757970,52.1106,52.7267,16.128,18.9144,25.7257,27.6152,25.2330,36.3262,51.4113,52.2262,35.3118,35.7249,67.1273,-3.9101
200,200,194,Cal Baptist,WAC,27,15-15,105.0142,107.6261,.4288194,51.2148,48.887,18136,15.1338,28.8161,28.9213,32.4200,39.6318,50.4170,46.949,34.8150,35.4233,69.2151,-9.1191
343,343,331,Cal Poly,BW,27,6-23,97.0293,114.7344,.1278331,47.2311,52.6258,1769,15.6323,26.1244,31.4289,25.8324,38.1294,46.6301,51.5234,32288,36.5281,67.3259,-18.6338
243,243,235,Cal St. Bakersfield,WAC,28,16-15,101.3213,107.7262,.3330235,47.3309,51.8220,19.5241,20.273,383,29.4227,29.3278,52.2352,47290,49.8156,31.9292,36.5281,66.7290,-8.9184
224,224,217,Cal St. Fullerton,BW,31,16-17,97.9278,102.1148,.3801217,49.3237,48.991,19.1218,16.8277,24.6283,26.593,38.539,35.8251,50.5161,49.1127,31319,32.259,70.979,-9.7201
262,262,253,Cal St. Northridge,BW,33,13-21,103.5169,111.3314,.3038253,51.5130,51.6207,16.757,17.1262,28.4174,32.5318,31.8218,32.2158,50.3178,48.286,36.189,38.4333,72.142,-14.7294
221,221,214,California,P12,31,8-23,102.7184,107.0253,.3824214,48.6267,56.9348,16.546,20.561,23.3316,31.4289,34.8124,36.1257,46.5302,56.7343,35136,38.1330,67.8231,-13.7277
192,192,186,Campbell,BSth,30,20-13,106.6114,108.9276,.4398186,52.880,54.6327,14.814,19.5105,23.7307,28.9213,31.2232,36253,54.830,53.6303,33.8204,37.3313,67279,-7.6161
289,289,279,Canisius,MAAC,32,15-17,101.2216,110.9309,.2594279,50.5177,53.6300,18.6181,20.561,27220,31.9305,31.4227,36.9273,5294,53.3293,32.4267,36266,68.9166,-11.7232
310,310,300,Central Arkansas,Slnd,30,14-19,98.6261,110.4301,.2147300,49.1246,51.9228,19.7254,18209,24.5287,30.9276,34.2148,34.3221,46.3312,51.2222,35.3118,35.3224,71.850,-13.3269
336,336,325,Central Connecticut,NEC,29,11-20,95.2313,111.2312,.1436325,47316,53281,19.8258,18.1196,29.6125,29.9250,34.1151,37.2279,45.8322,51.5234,32.8248,36.6289,70.3102,-15.3304
134,134,130,Central Michigan,MAC,32,23-12,109.464,105.3213,.6082130,51.4136,50.1145,16.233,18.7155,3187,33.1333,4025,28.870,48.9226,53.6303,36.954,29.37,72.239,-4102
136,136,132,Charleston,CAA,32,24-9,106.9104,103.0164,.6059132,54.240,52.1234,15.619,19.1131,25.6261,25.969,33.5171,26.422,56.311,53.7310,33.7208,33.3105,66.6292,-386
183,183,177,Charleston Southern,BSth,28,17-15,100.6227,101.6140,.4723177,50206,51.4200,17.9128,21.335,29.3132,28.1169,27.4309,30.9125,47.5273,49.7148,35.6103,35.8255,70.3104,-9.4197
322,322,311,Charlotte,CUSA,29,8-21,94.8318,107.5259,.1920311,48.1287,51.3196,22327,17.9215,22.3332,26.490,36.379,32.6170,49.2216,49.9159,31.1315,35.5238,65.7324,-15.5306
246,246,238,Chattanooga,SC,29,12-20,101.2218,107.7264,.3267238,51.5130,52.9276,19.1218,15.4328,24.6283,28.4187,24.2343,31.6139,49.3210,52255,36.381,36.4279,67.8235,-12.7252
363,363,351,Chicago St.,WAC,30,3-29,88.3346,117.2350,.0372351,44.2346,57.8352,22.5333,16.7282,22.1334,33.9339,33.1184,33.9209,43.5347,57.9352,30.7330,38.5337,71.753,-20.9349
28,28,28,"Cincinnati 7 seed, ✅",Amer,34,28-6,111.639,94.029,.878328,49254,48.151,16.128,20.949,37.64,29.4227,38.145,30.5113,47.3278,44.715,35136,35.1214,64.8335,5.220
22,22,23,Clemson,ACC,33,20-13,108.575,90.08,.895523,51.3142,47.537,19.8258,19.6102,27.8196,24.420,32.8188,30.4111,52.191,44.211,33.2229,35209,67.2264,0.448
286,286,276,Cleveland St.,Horz,29,10-21,101.3214,110.8307,.2635276,51.5130,51.6207,18.5171,16.8277,26.3239,33331,31.7221,34212,48.9226,53.2288,36.567,32.980,70.592,-15.2303
160,160,155,Coastal Carolina,SB,30,16-16,103.9164,103.4167,.5133155,51159,50.7167,20.1282,18209,32.550,27.8159,4119,42.8339,48.6237,52.3265,36.567,32.566,70.688,-10.1205
143,143,139,"Colgate 15 seed, ✅",Pat,33,24-10,108.967,105.6224,.5867139,55.913,50.6163,19.3228,18209,30.3103,26.9113,28.9283,28.661,53.946,50.4189,39.111,33.9143,67.8232,-4.3108
70,70,69,Colorado,P12,34,22-12,106.5121,96.350,.762269,51.3142,48.778,19209,17.6230,31.284,23.515,37.262,31.4134,52.671,49.4139,32.6253,31.636,69.2149,-3.898
184,184,178,Colorado St.,MWC,31,12-20,106.7112,107.8265,.4708178,54.432,53.1288,1769,16.2312,23.9304,27.1122,31.9214,29.582,55.521,53.5298,35.2126,35209,68.3207,-12.9258
206,206,200,Columbia,Ivy,26,10-18,102.1198,105.5217,.4075200,51.5130,52.1234,18136,18.9144,24.3294,27.2132,22.4351,38.1294,50.6158,51215,35.4113,35.8255,68.7182,-12.4247
110,110,107,Connecticut,Amer,33,16-17,107.499,101.3130,.6635107,51159,49.6123,18.5171,2083,32.355,30.2261,32.7192,39.2312,50.7151,49.2133,34.4168,33.5118,70.1109,-6.3139
356,356,344,Coppin St.,MEAC,33,8-25,87.5349,109.2284,.0727344,45.5340,50.2148,23.3345,16.7282,26248,28.9213,37.753,33.6203,47.7263,47.153,28.6348,36.5281,71.560,-18.2336
