,Team,Seed,Region,Net,KenPom,AdjO,AdjD,Torvik,AEMLast10,Q1 W,WillisComposite
0,Abilene Christian 15,0,0,0,146,186,122,149,133,0,0
1,Air Force,1,1,1,242,251,238,230,214,1,1
