,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
305,305,295,Bryant,NEC,10,2–8,102.2204,114.2322,.2193295,52.1116,53.2261,19.3257,17.4181,30112,32.6312,32.9143,32.5194,49.7176,50.9222,37.287,38288,68157,-7337
177,177,172,Bucknell,Pat,10,6–4,103.9169,103.9169,.5003172,54.157,50.7180,17.9180,15.9267,27.9171,2335,29.2236,35.1243,53.946,47.8108,36.2115,37.4269,71.830,-2.7171
23,23,24,"Buffalo 6 seed, ✅",MAC,10,10–0,115.622,94.242,.913624,52.892,45.937,14.628,18.6115,32.752,25.489,32.9143,29.6113,55.430,49.2156,33233,26.13,73.97,2.413
117,117,114,Butler,BE,10,3–7,109.388,104.3175,.6311114,49.6218,54.5299,15.971,16.8212,24.6270,27.6169,25.3317,36.6269,50.5144,52.8279,32.3256,38.2296,66.5229,-2.3152
157,157,152,Cal Baptist,WAC,10,5–5,106.3133,104.6183,.5462152,47.6291,47.262,1419,15.8277,31.373,29.7234,28269,30126,45.7301,42.18,33.5212,37.6275,64.1324,-2.9183
346,346,334,Cal Poly,BW,10,1–9,99.1257,119.8348,.1016334,45.6317,54.3292,13.918,13347,26.5208,30.8271,33.3134,42.9329,45.6305,53285,30.4313,38.6305,69.1106,-7.3343
304,304,294,Cal St. Bakersfield,WAC,10,1–9,98.5268,110.0277,.2198294,45.1326,50143,19.8273,16.6224,387,28.2187,30.3209,50.9353,45.4309,46.668,29.5332,37.1255,64.3316,-7.1340
301,301,291,Cal St. Fullerton,BW,10,6–4,97.3280,108.0246,.2327291,50.2190,50.3161,19.1248,16.2254,25.5246,25.597,43.513,37.9289,51.1118,50.7207,32.1264,32.9101,69.978,-2.7171
254,254,246,Cal St. Northridge,BW,10,3–7,101.3227,109.0264,.3001246,49.6218,50.4168,15.453,16.8212,24.9260,29.9245,30.7202,32.4191,47275,47.8108,3793,36.9248,7312,-5.2278
172,172,167,California,P12,10,3–7,100.6234,100.2111,.5116167,46.6309,54.9311,17127,22.415,23.4288,31.5291,29.1239,31.3162,43.5331,53.1288,34.8160,37.9284,66.7218,-3.4203
182,182,176,Campbell,BSth,10,7–3,109.485,110.1279,.4818176,54.349,52.6247,13.214,16.6224,20.2340,26.8139,34.1117,34.1223,5717,50.5198,34191,37.2261,66.2246,-1.7120
321,321,310,Canisius,MAAC,10,6–4,103.0190,116.9341,.1888310,5388,53.6271,17.1132,19.672,25.2255,32299,29.6225,36.2261,54.238,52.2262,34.3177,37.7278,66.4233,-3.2192
314,314,303,Central Arkansas,Slnd,10,4–6,99.2256,111.6303,.2043303,47.6291,50.2152,18.2204,16.1259,26.6205,29.8237,38.743,29.4105,45.1313,48.2119,34191,35.1187,69.882,-5.2278
349,349,337,Central Connecticut,NEC,10,3–7,91.5335,111.6301,.0925337,44343,52.2235,19.9278,17204,3179,26.6135,32.6156,30.2133,42.5334,48.3123,31.6292,37.9284,7148,-6.2320
106,106,103,Central Michigan,MAC,10,6–4,110.865,104.6179,.6604103,52.989,48.798,14.832,17.1198,28.3161,36345,37.356,26.864,48.4235,54.5316,40.122,25.61,71.928,-1.4109
130,130,126,Charleston,CAA,10,7–3,111.259,107.5235,.5957126,56.816,54285,14.936,16.4243,27.3186,26.3128,29.3230,30.3138,56.519,54.3310,38.261,35.7213,66259,-1.6115
158,158,153,Charleston Southern,BSth,10,7–3,98.5269,97.073,.5450153,51.9125,45.224,15.145,19.388,25.6242,27148,25.5312,2653,48.8220,41.75,37.287,33.3118,67.8165,-1.8126
